Date,MktRF,SMB,HML,Rf,Mom,ExcessOP,ExcessSP500,JNJ
201808,3.44,1.14,-3.94,0.16,5.29,-1.88252,0.26943009181394706,3.107358369276621
201809,0.06,-2.27,-1.7,0.15,0.04,-5.74703,-7.090335897981463,1.1672210503899894
201810,-7.68,-4.78,3.4,0.19,-1.99,6.519911,1.5959381799140144,4.746064446588681
201811,1.69,-0.68,0.3,0.18,-1.37,-11.2688,-9.35769557672173,-11.771690148680273
201812,-9.57,-2.38,-1.84,0.2,2.11,3.885932,7.668440473103696,2.922799727139902
201901,8.4,2.9,-0.46,0.21,-8.68,-0.61164,2.7628930143115964,2.4650860504961134
201902,3.4,2.05,-2.67,0.18,0.86,-0.23512,1.612428775107841,2.8038617297272186
201903,1.1,-3.05,-4.17,0.19,2.21,-2.74369,3.741343494213937,0.8186433891031785
201904,3.97,-1.74,2.15,0.21,-2.97,-10.6806,-6.787772648116151,-7.327556566646908
201905,-6.94,-1.32,-2.37,0.21,7.56,9.051885,6.683018320821503,6.715658295171696
201906,6.93,0.29,-0.71,0.18,-2.3,8.335899,1.132819536603934,-6.684879155421668
201907,1.19,-1.93,0.48,0.19,2.89,-0.04391,-1.9991652742267787,-1.6183464647867705
201908,-2.58,-2.38,-4.78,0.16,6.92,0.278927,1.5581167690656883,1.3899220610549794
201909,1.43,-0.96,6.75,0.18,-6.81,12.18318,1.8631747482144954,1.8759620434176172
201910,2.06,0.29,-1.91,0.16,0.15,0.365446,3.2447064090915108,3.967547493365822
201911,3.87,0.77,-2.02,0.12,-2.66,6.948512,2.7389803182446304,6.710032671946592
201912,2.77,0.73,1.75,0.14,-1.77,-3.54072,-0.30280898111292687,1.9166441833952879
202001,-0.11,-3.11,-6.25,0.13,5.98,-4.55674,-8.54104690096481,-9.79619461218781
202002,-8.13,1.07,-3.81,0.12,-0.4,-4.08318,-12.63193208359566,-1.9892780378440051
